pdb	Hchain	Lchain	model	antigen_chain	antigen_type	antigen_het_name	antigen_name	short_header	date	compound	organism	heavy_species	light_species	antigen_species	authors	resolution	method	r_free	r_factor	scfv	engineered	heavy_subclass	light_subclass	light_ctype	affinity	delta_g	affinity_method	temperature	pmid
5b3j	E	F	0	C	protein	NA	glutamate receptor ionotropic, nmda 2b	TRANSPORT PROTEIN	03/01/16	Activation of NMDA receptors and the mechanism of inhibition by ifenprodil	XENOPUS LAEVIS; RATTUS NORVEGICUS; MUS MUSCULUS	mus musculus	mus musculus	rattus norvegicus	Tajima, N., Karakas, E., Grant, T., Simorowski, N., Diaz-Avalos, R., Grigorieff, N., Furukawa, H.	2.9	X-RAY DIFFRACTION	0.302	0.273	False	False	IGHV5	IGKV19	Kappa	None	None	None	None	None
6gff	N	M	0	J | G | H	protein | protein | protein	NA | NA | NA	leucine-rich repeat-containing protein 32 | transforming growth factor beta-1 | transforming growth factor beta-1	IMMUNE SYSTEM	04/30/18	Structure of GARP (LRRC32) in complex with latent TGF-beta1 and MHG-8 Fab	HOMO SAPIENS; MUS MUSCULUS	mus musculus	mus musculus	homo sapiens | homo sapiens | homo sapiens	Merceron, R., Lienart, S., Vanderaa, C., Colau, D., Stockis, J., Van Der Woning, B., De Haard, H., Saunders, M., Coulie, P.G., Savvides, S.N., Lucas, S.	3.1	X-RAY DIFFRACTION	0.268	0.233	False	False	IGHV2	IGKV13	Kappa	None	None	None	None	None
6gff	L	K	0	I | C | D	protein | protein | protein	NA | NA | NA	leucine-rich repeat-containing protein 32 | transforming growth factor beta-1 | transforming growth factor beta-1	IMMUNE SYSTEM	04/30/18	Structure of GARP (LRRC32) in complex with latent TGF-beta1 and MHG-8 Fab	HOMO SAPIENS; MUS MUSCULUS	mus musculus	mus musculus	homo sapiens | homo sapiens | homo sapiens	Merceron, R., Lienart, S., Vanderaa, C., Colau, D., Stockis, J., Van Der Woning, B., De Haard, H., Saunders, M., Coulie, P.G., Savvides, S.N., Lucas, S.	3.1	X-RAY DIFFRACTION	0.268	0.233	False	False	IGHV2	IGKV13	Kappa	None	None	None	None	None
5f9o	H	L	0	G	protein	NA	clade a/e 93th057 hiv-1 gp120 core	IMMUNE SYSTEM	12/10/15	Crystal structure of broadly neutralizing VH1-46 germline-derived CD4-binding site-directed antibody CH235.09 in complex with HIV-1 clade A/E 93TH057 gp120	HUMAN IMMUNODEFICIENCY VIRUS 1; HOMO SAPIENS	homo sapiens	homo sapiens	human immunodeficiency virus 1	Joyce, M.G., Mascola, J.R., Kwong, P.D.	1.86	X-RAY DIFFRACTION	0.221	0.204	False	True	IGHV1	IGKV3	Kappa	None	None	None	None	None
4hs6	B	A	0	Z	peptide	NA	e2-peptide	IMMUNE SYSTEM	10/29/12	Hepatitus C envelope glycoprotein E2 fragment 412-423 with humanized and affinity-matured antibody MRCT10.v362	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	hepatitis c virus	Eigenbrot, C., Ultsch, M.	1.53	X-RAY DIFFRACTION	0.200	0.175	False	True	IGHV4	IGKV1	Kappa	None	None	None	None	None
4hs6	H	L	0	Y	peptide	NA	e2-peptide	IMMUNE SYSTEM	10/29/12	Hepatitus C envelope glycoprotein E2 fragment 412-423 with humanized and affinity-matured antibody MRCT10.v362	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	hepatitis c virus	Eigenbrot, C., Ultsch, M.	1.53	X-RAY DIFFRACTION	0.200	0.175	False	True	IGHV4	IGKV1	Kappa	None	None	None	None	None
9ggp	H	L	0	A	protein	NA	alpha-1-antitrypsin	PROTEIN BINDING	05/14/25	Alpha-1-antitrypsin in complex with the Fab fragment of an anti-polymer antibody	Homo sapiens; Mus musculus	mus musculus	mus musculus	homo sapiens	Lowen, S.M., Laffranchi, M., Lomas, D.A., Irving, J.A.	1.84	X-RAY DIFFRACTION	0.206	0.173	False	True	IGHV2	IGKV19	Kappa	None	None	None	None	None
9gp2	H	L	0	NA	NA	NA	NA	ANTITUMOR PROTEIN	09/25/24	apoJ22.9 Unliganded structure of an Fab fragment from the therapeutic antibody J22.9-xi	Mus musculus	mus musculus	mus musculus		Marino, S.F., Daumke, O.	1.97	X-RAY DIFFRACTION	0.202	0.162	False	True	IGHV4	IGKV6	Kappa	None	None	None	None	None
8euq	C	D	0	A | B	protein | protein	NA | NA	hla class ii histocompatibility antigen, dr alpha chain | hemagglutinin ha1 chain,hla class ii histocompatibilityantigen dr beta chain 	IMMUNE SYSTEM	04/19/23	Crystal structure of HLA-DRA*01:01/HLA-DRB1*04:01 in complex with c44H10 Fab	Homo sapiens; Influenza A virus	homo sapiens	homo sapiens	homo sapiens | influenza a virus, homo sapiens	Kassardjian, A., Julien, J.-P.	3.09	X-RAY DIFFRACTION	0.244	0.200	False	True	IGHV2	IGKV9	Kappa	None	None	None	None	None
8euq	I	H	0	F | G	protein | protein	NA | NA	hla class ii histocompatibility antigen, dr alpha chain | hemagglutinin ha1 chain,hla class ii histocompatibilityantigen dr beta chain 	IMMUNE SYSTEM	04/19/23	Crystal structure of HLA-DRA*01:01/HLA-DRB1*04:01 in complex with c44H10 Fab	Homo sapiens; Influenza A virus	homo sapiens	homo sapiens	homo sapiens | influenza a virus, homo sapiens	Kassardjian, A., Julien, J.-P.	3.09	X-RAY DIFFRACTION	0.244	0.200	False	True	IGHV2	IGKV9	Kappa	None	None	None	None	None
6adc	E	F	0	B	protein	NA	h(+)/cl(-) exchange transporter clca	TRANSPORT PROTEIN	07/31/18	Crystal structure of the E148A mutant CLC-ec1 in the presence of 50mM bromoacetate	ESCHERICHIA COLI (STRAIN K12); MUS MUSCULUS	mus musculus	mus musculus	escherichia coli (strain k12)	Lim, H.-H., Park, K.	3.055	X-RAY DIFFRACTION	0.275	0.226	False	False	IGHV4	IGKV4	Kappa	None	None	None	None	None
6adc	C	D	0	A	protein	NA	h(+)/cl(-) exchange transporter clca	TRANSPORT PROTEIN	07/31/18	Crystal structure of the E148A mutant CLC-ec1 in the presence of 50mM bromoacetate	ESCHERICHIA COLI (STRAIN K12); MUS MUSCULUS	mus musculus	mus musculus	escherichia coli (strain k12)	Lim, H.-H., Park, K.	3.055	X-RAY DIFFRACTION	0.275	0.226	False	False	IGHV4	IGKV4	Kappa	None	None	None	None	None
4qhm	C	D	0	NA	NA	NA	NA	IMMUNE SYSTEM	05/28/14	I3.1 (unbound) from CH103 Lineage	HOMO SAPIENS	homo sapiens	homo sapiens		Fera, D., Harrison, S.C.	3.23	X-RAY DIFFRACTION	0.251	0.224	False	True	IGHV4	IGLV3	Lambda	None	None	None	None	None
4qhm	A	B	0	NA	NA	NA	NA	IMMUNE SYSTEM	05/28/14	I3.1 (unbound) from CH103 Lineage	HOMO SAPIENS	homo sapiens	homo sapiens		Fera, D., Harrison, S.C.	3.23	X-RAY DIFFRACTION	0.251	0.224	False	True	IGHV4	IGLV3	Lambda	None	None	None	None	None
4qhm	G	H	0	NA	NA	NA	NA	IMMUNE SYSTEM	05/28/14	I3.1 (unbound) from CH103 Lineage	HOMO SAPIENS	homo sapiens	homo sapiens		Fera, D., Harrison, S.C.	3.23	X-RAY DIFFRACTION	0.251	0.224	False	True	IGHV4	IGLV3	Lambda	None	None	None	None	None
4qhm	E	F	0	NA	NA	NA	NA	IMMUNE SYSTEM	05/28/14	I3.1 (unbound) from CH103 Lineage	HOMO SAPIENS	homo sapiens	homo sapiens		Fera, D., Harrison, S.C.	3.23	X-RAY DIFFRACTION	0.251	0.224	False	True	IGHV4	IGLV3	Lambda	None	None	None	None	None
6cf2	A	B	0	F | G	protein | nucleic-acid	NA | NA	protein rev | rna (35-mer)	RNA BINDING PROTEIN/RNA	02/13/18	Crystal structure of HIV-1 Rev (residues 1-93)-RNA aptamer complex	ORYCTOLAGUS CUNICULUS; HUMAN IMMUNODEFICIENCY VIRUS 1; SYNTHETIC CONSTRUCT	oryctolagus cuniculus	oryctolagus cuniculus	human immunodeficiency virus 1 | synthetic construct	Eren, E., Dearborn, A.D., Wingfield, P.T.	3.0	X-RAY DIFFRACTION	0.241	0.208	False	True	IGHV1	IGKV1	Kappa	None	None	None	None	None
6ugs	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	09/26/19	Crystal structure of the Fab fragment of PF06438179/GP1111 an infliximab biosimilar in a C-centered orthorhombic crystal form, Lot A	HOMO SAPIENS	homo sapiens	homo sapiens		Lerch, T.F., Sharpe, P., Mayclin, S.J., Edwards, T.E., Polleck, S., Rouse, J.C., Conlan, H.	1.95	X-RAY DIFFRACTION	0.198	0.159	False	True	IGHV6	IGKV5	Kappa	None	None	None	None	None
6ugs	A	B	0	NA	NA	NA	NA	IMMUNE SYSTEM	09/26/19	Crystal structure of the Fab fragment of PF06438179/GP1111 an infliximab biosimilar in a C-centered orthorhombic crystal form, Lot A	HOMO SAPIENS	homo sapiens	homo sapiens		Lerch, T.F., Sharpe, P., Mayclin, S.J., Edwards, T.E., Polleck, S., Rouse, J.C., Conlan, H.	1.95	X-RAY DIFFRACTION	0.198	0.159	False	True	IGHV6	IGKV5	Kappa	None	None	None	None	None
1nfd	H	G	0	D	protein	NA	n15 alpha-beta t-cell receptor	COMPLEX (IMMUNORECEPTOR/IMMUNOGLOBULIN)	08/04/97	AN ALPHA-BETA T CELL RECEPTOR (TCR) HETERODIMER IN COMPLEX WITH AN ANTI-TCR FAB FRAGMENT DERIVED FROM A MITOGENIC ANTIBODY	MUS MUSCULUS	mus musculus	mus musculus	mus musculus	Wang, J.-H., Lim, K., Smolyar, A., Teng, M.-K., Sacchittini, J., Reinherz, E.L.	2.8	X-RAY DIFFRACTION	0.309	0.243	False	True	IGHV3	IGLV2	Lambda	None	None	None	None	None
1nfd	F	E	0	B	protein	NA	n15 alpha-beta t-cell receptor	COMPLEX (IMMUNORECEPTOR/IMMUNOGLOBULIN)	08/04/97	AN ALPHA-BETA T CELL RECEPTOR (TCR) HETERODIMER IN COMPLEX WITH AN ANTI-TCR FAB FRAGMENT DERIVED FROM A MITOGENIC ANTIBODY	MUS MUSCULUS	mus musculus	mus musculus	mus musculus	Wang, J.-H., Lim, K., Smolyar, A., Teng, M.-K., Sacchittini, J., Reinherz, E.L.	2.8	X-RAY DIFFRACTION	0.309	0.243	False	True	IGHV3	IGLV2	Lambda	None	None	None	None	None
7s11	K	O	0	F	protein	NA	t-cell surface protein tactile	IMMUNE SYSTEM	08/31/21	Crystal structure of Fab in complex with mouse CD96 monomer	MUS MUSCULUS; RATTUS	rattus	rattus	mus musculus	Lee, P.S., Chau, B., Strop, P.	2.58	X-RAY DIFFRACTION	0.279	0.226	False	True	IGHV2	IGLV1	Lambda	None	None	None	None	None
7s11	J	N	0	E	protein	NA	t-cell surface protein tactile	IMMUNE SYSTEM	08/31/21	Crystal structure of Fab in complex with mouse CD96 monomer	MUS MUSCULUS; RATTUS	rattus	rattus	mus musculus	Lee, P.S., Chau, B., Strop, P.	2.58	X-RAY DIFFRACTION	0.279	0.226	False	True	IGHV2	IGLV1	Lambda	None	None	None	None	None
7s11	H	L	0	C	protein	NA	t-cell surface protein tactile	IMMUNE SYSTEM	08/31/21	Crystal structure of Fab in complex with mouse CD96 monomer	MUS MUSCULUS; RATTUS	rattus	rattus	mus musculus	Lee, P.S., Chau, B., Strop, P.	2.58	X-RAY DIFFRACTION	0.279	0.226	False	True	IGHV2	IGLV1	Lambda	None	None	None	None	None
7s11	I	M	0	D	protein	NA	t-cell surface protein tactile	IMMUNE SYSTEM	08/31/21	Crystal structure of Fab in complex with mouse CD96 monomer	MUS MUSCULUS; RATTUS	rattus	rattus	mus musculus	Lee, P.S., Chau, B., Strop, P.	2.58	X-RAY DIFFRACTION	0.279	0.226	False	True	IGHV2	IGLV1	Lambda	None	None	None	None	None
1osp	H	L	0	O	protein	NA	outer surface protein a	COMPLEX (IMMUNOGLOBULIN/LIPOPROTEIN)	11/23/96	CRYSTAL STRUCTURE OF OUTER SURFACE PROTEIN A OF BORRELIA BURGDORFERI COMPLEXED WITH A MURINE MONOCLONAL ANTIBODY FAB	BORRELIA BURGDORFERI; MUS MUSCULUS	mus musculus	mus musculus	borrelia burgdorferi	Li, H., Lawson, C.L.	1.95	X-RAY DIFFRACTION	0.295	0.229	False	False	IGHV3	IGKV13	Kappa	None	None	None	None	None
6u6u	H	L	0	R	protein	NA	interleukin-1 receptor-like 2	CYTOKINE	08/30/19	IL36R extracellular domain in complex with BI655130 Fab	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Larson, E.T., Farrow, N.A.	2.31	X-RAY DIFFRACTION	0.202	0.179	False	True	IGHV1	IGKV3	Kappa	None	None	None	None	None
8z2v	H	L	0	A	protein	NA	sonic hedgehog protein n-product	IMMUNE SYSTEM	04/16/25	Crystal structure of Sonic hedgehog in complex with antibody 5E1 mutant H-R102A with metals	Homo sapiens	homo sapiens	homo sapiens	homo sapiens	Caaveiro, J.M.M., Kaneda, I., Tsumoto, K.	1.89	X-RAY DIFFRACTION	0.225	0.186	False	True	IGHV1	IGKV6	Kappa	None	None	None	None	None
3sge	J	I	0	M	peptide	NA	r13 peptide	IMMUNE SYSTEM	06/14/11	Crystal structure of mAb 17.2 in complex with R13 peptide	MUS MUSCULUS; SYNTHETIC CONSTRUCT	mus musculus	mus musculus		Pizarro, J.C., Boulot, G., Hontebeyrie, M., Bentley, G.A.	1.89	X-RAY DIFFRACTION	0.211	0.179	False	True	IGHV10	IGKV1	Kappa	None	None	None	None	None
3sge	H	L	0	K	peptide	NA	r13 peptide	IMMUNE SYSTEM	06/14/11	Crystal structure of mAb 17.2 in complex with R13 peptide	MUS MUSCULUS; SYNTHETIC CONSTRUCT	mus musculus	mus musculus		Pizarro, J.C., Boulot, G., Hontebeyrie, M., Bentley, G.A.	1.89	X-RAY DIFFRACTION	0.211	0.179	False	True	IGHV10	IGKV1	Kappa	None	None	None	None	None
7jkt	H	L	0	G	protein	NA	hiv-1 gp120 core from strain d45-01dg5	Viral Protein/Immune System	07/28/20	Crystal structure of vaccine-elicited broadly neutralizing VRC01-class antibody 2413a in complex with HIV-1 gp120 core	HUMAN IMMUNODEFICIENCY VIRUS 1; MUS MUSCULUS	mus musculus	mus musculus	human immunodeficiency virus 1	Zhou, T., Chen, X., Kwong, P.D., Mascola, J.R.	2.75	X-RAY DIFFRACTION	0.252	0.197	False	True	IGHV1	IGKV3	Kappa	None	None	None	None	None
3mnv	D	C	0	NA	NA	NA	NA	IMMUNE SYSTEM	04/22/10	Crystal structure of the non-neutralizing HIV antibody 13H11 Fab fragment	MUS MUSCULUS,HOMO SAPIENS	mus musculus,homo sapiens	mus musculus,homo sapiens		Nicely, N.I., Dennison, S.M., Kelsoe, G., Liao, H.-X., Alam, S.M., Haynes, B.F.	2.4	X-RAY DIFFRACTION	0.228	0.181	False	True	IGHV9	IGKV8	Kappa	None	None	None	None	None
3mnv	B	A	0	NA	NA	NA	NA	IMMUNE SYSTEM	04/22/10	Crystal structure of the non-neutralizing HIV antibody 13H11 Fab fragment	MUS MUSCULUS,HOMO SAPIENS	mus musculus,homo sapiens	mus musculus,homo sapiens		Nicely, N.I., Dennison, S.M., Kelsoe, G., Liao, H.-X., Alam, S.M., Haynes, B.F.	2.4	X-RAY DIFFRACTION	0.228	0.181	False	True	IGHV9	IGKV8	Kappa	None	None	None	None	None
7mfr	Y	X	0	Q	peptide	NA	gly-gly-met	IMMUNE SYSTEM	04/10/21	Crystal Structure of a Fab fragment bound to peptide GGM	ORYCTOLAGUS CUNICULUS; SYNTHETIC CONSTRUCT	oryctolagus cuniculus	oryctolagus cuniculus	homo sapiens	Sudhamsu, J.	2.848	X-RAY DIFFRACTION	0.260	0.211	False	True	IGHV1	IGKV1	Kappa	None	None	None	None	None
7mfr	B	A	0	P	peptide	NA	gly-gly-met	IMMUNE SYSTEM	04/10/21	Crystal Structure of a Fab fragment bound to peptide GGM	ORYCTOLAGUS CUNICULUS; SYNTHETIC CONSTRUCT	oryctolagus cuniculus	oryctolagus cuniculus	homo sapiens	Sudhamsu, J.	2.848	X-RAY DIFFRACTION	0.260	0.211	False	True	IGHV1	IGKV1	Kappa	None	None	None	None	None
6bck	H	L	0	G	protein	NA	clade a/e 93th057 hiv-1 gp120 core	VIRAL PROTEIN/IMMUNE SYSTEM	10/20/17	Crystal Structure of Broadly Neutralizing Antibody N49P7 in Complex with HIV-1 Clade AE strain 93TH057 gp120 core.	HUMAN IMMUNODEFICIENCY VIRUS 1; HOMO SAPIENS	homo sapiens	homo sapiens	human immunodeficiency virus 1	Tolbert, W.D., Gohain, N., Pazgier, M.	2.7	X-RAY DIFFRACTION	0.285	0.225	False	True	unknown	IGLV2	Lambda	None	None	None	None	None
1i8i	B	A	0	C	peptide	NA	epidermal growth factor receptor, egfrviiipeptide antigen 	IMMUNE SYSTEM	03/14/01	CRYSTAL STRUCTURE OF DSFV MR1 IN COMPLEX WITH THE PEPTIDE ANTIGEN OF THE MUTANT EPIDERMAL GROWTH FACTOR RECEPTOR, EGFRVIII, AT ROOM TEMPERATURE	MUS MUSCULUS; SYNTHETIC CONSTRUCT	mus musculus	mus musculus		Landry, R.C., Klimowicz, A.C., Lavictoire, S.J., Borisova, S., Kottachchi, D.T., Lorimer, I.A., Evans, S.V.	2.4	X-RAY DIFFRACTION	0.262	0.156	False	True	IGHV5	IGKV17	Kappa	None	None	None	None	None
5tr8	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	10/25/16	Crystal structure of vaccine-elicited pan- influenza H1N1 neutralizing murine antibody 441D6.	MUS; MUS MUSCULUS	mus, mus musculus	mus, mus musculus		Joyce, M.G., Kanekiyo, M., Mascola, J.R., Graham, B.S., Kwong, P.D.	2.01	X-RAY DIFFRACTION	0.198	0.174	False	True	IGHV5	IGKV14	Kappa	None	None	None	None	None
7c4s	J	K	0	B	protein	NA	sphingosine 1-phosphate receptor 3	MEMBRANE PROTEIN	05/18/20	Sphingosine-1-phosphate receptor 3 with a natural ligand.	HOMO SAPIENS; MUS MUSCULUS	mus musculus	mus musculus	homo sapiens	Iwata, S., Maeda, S., Luo, F., Nango, E., hirata, K., Asada, H.	3.2	X-RAY DIFFRACTION	0.263	0.242	False	False	IGHV1	IGKV6	Kappa	None	None	None	None	None
7c4s	H	L	0	A	protein	NA	sphingosine 1-phosphate receptor 3	MEMBRANE PROTEIN	05/18/20	Sphingosine-1-phosphate receptor 3 with a natural ligand.	HOMO SAPIENS; MUS MUSCULUS	mus musculus	mus musculus	homo sapiens	Iwata, S., Maeda, S., Luo, F., Nango, E., hirata, K., Asada, H.	3.2	X-RAY DIFFRACTION	0.263	0.242	False	False	IGHV1	IGKV6	Kappa	None	None	None	None	None
4i3r	H	L	0	G	protein	NA	outer domain of hiv-1 gp120 (ker2018 od4.2.2)	Viral Protein/Immune System	11/26/12	Crystal structure of the outer domain of HIV-1 gp120 in complex with VRC-PG04 space group P3221	HUMAN IMMUNODEFICIENCY VIRUS; HOMO SAPIENS	homo sapiens	homo sapiens	human immunodeficiency virus	Joyce, M.G., Biertumpfel, C., Nabel, G.J., Kwong, P.D.	3.0	X-RAY DIFFRACTION	0.245	0.183	False	True	unknown	unknown	unknown	None	None	None	None	None
6aq7	H	L	0	A	protein	NA	major prion protein	IMMUNE SYSTEM	08/18/17	Structure of POM6 FAB fragment complexed with mouse PrPc	MUS MUSCULUS	mus musculus	mus musculus	mus musculus	Baral, P.K., Swayampakula, M., James, M.N.G.	1.83	X-RAY DIFFRACTION	0.230	0.197	False	True	IGHV1	IGKV3	Kappa	None	None	None	None	None
8g8n	A	B	0	C	peptide	NA	cys-pro-gly-lys-gly-leu-pro-ser-cys	IMMUNE SYSTEM	01/17/24	CTLA4 Fab with peptide	Homo sapiens; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	synthetic construct	Williams, J.C.	3	X-RAY DIFFRACTION	0.288	0.239	False	True	IGHV1	IGKV6	Kappa	None	None	None	None	None
8g8n	D	E	0	F	peptide	NA	cys-pro-gly-lys-gly-leu-pro-ser-cys	IMMUNE SYSTEM	01/17/24	CTLA4 Fab with peptide	Homo sapiens; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	synthetic construct	Williams, J.C.	3	X-RAY DIFFRACTION	0.288	0.239	False	True	IGHV1	IGKV6	Kappa	None	None	None	None	None
8g8n	G	I	0	J	peptide	NA	cys-pro-gly-lys-gly-leu-pro-ser-cys	IMMUNE SYSTEM	01/17/24	CTLA4 Fab with peptide	Homo sapiens; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	synthetic construct	Williams, J.C.	3	X-RAY DIFFRACTION	0.288	0.239	False	True	IGHV1	IGKV6	Kappa	None	None	None	None	None
8g8n	H	L	0	P	peptide	NA	cys-pro-gly-lys-gly-leu-pro-ser-cys	IMMUNE SYSTEM	01/17/24	CTLA4 Fab with peptide	Homo sapiens; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	synthetic construct	Williams, J.C.	3	X-RAY DIFFRACTION	0.288	0.239	False	True	IGHV1	IGKV6	Kappa	None	None	None	None	None
8g8n	K	M	0	Z	peptide	NA	cys-pro-gly-lys-gly-leu-pro-ser-cys	IMMUNE SYSTEM	01/17/24	CTLA4 Fab with peptide	Homo sapiens; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	synthetic construct	Williams, J.C.	3	X-RAY DIFFRACTION	0.288	0.239	False	True	IGHV1	IGKV6	Kappa	None	None	None	None	None
8g8n	O	Q	0	R	peptide	NA	cys-pro-gly-lys-gly-leu-pro-ser-cys	IMMUNE SYSTEM	01/17/24	CTLA4 Fab with peptide	Homo sapiens; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	synthetic construct	Williams, J.C.	3	X-RAY DIFFRACTION	0.288	0.239	False	True	IGHV1	IGKV6	Kappa	None	None	None	None	None
4m1g	H	L	0	B | A	protein | protein	NA | NA	a33r | a33r	IMMUNE SYSTEM	08/02/13	Structure of murine IgG2a A27D7-Fab in complex with vaccinia antigen A33R at the resolution of 1.6 Angstroms	MUS MUSCULUS; VACCINIA VIRUS	mus musculus	mus musculus	vaccinia virus | vaccinia virus	Matho, M.H., Schlossman, A.M., Zajonc, D.M.	1.6	X-RAY DIFFRACTION	0.226	0.201	False	True	IGHV2	IGKV4	Kappa	None	None	None	None	None
4r4n	F	G	0	E	protein	NA	m48u1 peptide	VIRAL PROTEIN/IMMUNE SYSTEM/INHIBITOR	08/19/14	Crystal structure of the anti-hiv-1 antibody 2.2c in complex with hiv-1 93ug037 gp120	HUMAN IMMUNODEFICIENCY VIRUS 1; HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	human immunodeficiency virus 1	Acharya, P., Louder, R., Kwong, P.D.	3.56	X-RAY DIFFRACTION	0.328	0.296	False	True	IGHV4	IGKV1	Kappa	None	None	None	None	None
4r4n	N	O	0	M | a	protein | peptide	NA | NA	m48u1 peptide | unknown	VIRAL PROTEIN/IMMUNE SYSTEM/INHIBITOR	08/19/14	Crystal structure of the anti-hiv-1 antibody 2.2c in complex with hiv-1 93ug037 gp120	HUMAN IMMUNODEFICIENCY VIRUS 1; HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	human immunodeficiency virus 1 | synthetic construct	Acharya, P., Louder, R., Kwong, P.D.	3.56	X-RAY DIFFRACTION	0.328	0.296	False	True	IGHV4	IGKV1	Kappa	None	None	None	None	None
4r4n	C	D	0	B | p	protein | peptide	NA | NA	m48u1 peptide | unknown	VIRAL PROTEIN/IMMUNE SYSTEM/INHIBITOR	08/19/14	Crystal structure of the anti-hiv-1 antibody 2.2c in complex with hiv-1 93ug037 gp120	HUMAN IMMUNODEFICIENCY VIRUS 1; HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	human immunodeficiency virus 1 | synthetic construct	Acharya, P., Louder, R., Kwong, P.D.	3.56	X-RAY DIFFRACTION	0.328	0.296	False	True	IGHV4	IGKV1	Kappa	None	None	None	None	None
4r4n	W	X	0	V | i	protein | peptide	NA | NA	m48u1 peptide | unknown	VIRAL PROTEIN/IMMUNE SYSTEM/INHIBITOR	08/19/14	Crystal structure of the anti-hiv-1 antibody 2.2c in complex with hiv-1 93ug037 gp120	HUMAN IMMUNODEFICIENCY VIRUS 1; HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	human immunodeficiency virus 1 | synthetic construct	Acharya, P., Louder, R., Kwong, P.D.	3.56	X-RAY DIFFRACTION	0.328	0.296	False	True	IGHV4	IGKV1	Kappa	None	None	None	None	None
4r4n	Q	R	0	P | b	protein | peptide	NA | NA	m48u1 peptide | unknown	VIRAL PROTEIN/IMMUNE SYSTEM/INHIBITOR	08/19/14	Crystal structure of the anti-hiv-1 antibody 2.2c in complex with hiv-1 93ug037 gp120	HUMAN IMMUNODEFICIENCY VIRUS 1; HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	human immunodeficiency virus 1 | synthetic construct	Acharya, P., Louder, R., Kwong, P.D.	3.56	X-RAY DIFFRACTION	0.328	0.296	False	True	IGHV4	IGKV1	Kappa	None	None	None	None	None
4r4n	J	K	0	I | v	protein | peptide	NA | NA	m48u1 peptide | unknown	VIRAL PROTEIN/IMMUNE SYSTEM/INHIBITOR	08/19/14	Crystal structure of the anti-hiv-1 antibody 2.2c in complex with hiv-1 93ug037 gp120	HUMAN IMMUNODEFICIENCY VIRUS 1; HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	human immunodeficiency virus 1 | synthetic construct	Acharya, P., Louder, R., Kwong, P.D.	3.56	X-RAY DIFFRACTION	0.328	0.296	False	True	IGHV4	IGKV1	Kappa	None	None	None	None	None
4r4n	T	U	0	S	protein	NA	m48u1 peptide	VIRAL PROTEIN/IMMUNE SYSTEM/INHIBITOR	08/19/14	Crystal structure of the anti-hiv-1 antibody 2.2c in complex with hiv-1 93ug037 gp120	HUMAN IMMUNODEFICIENCY VIRUS 1; HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	human immunodeficiency virus 1	Acharya, P., Louder, R., Kwong, P.D.	3.56	X-RAY DIFFRACTION	0.328	0.296	False	True	IGHV4	IGKV1	Kappa	None	None	None	None	None
4r4n	H	L	0	A | m	protein | peptide	NA | NA	m48u1 peptide | unknown	VIRAL PROTEIN/IMMUNE SYSTEM/INHIBITOR	08/19/14	Crystal structure of the anti-hiv-1 antibody 2.2c in complex with hiv-1 93ug037 gp120	HUMAN IMMUNODEFICIENCY VIRUS 1; HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	human immunodeficiency virus 1 | synthetic construct	Acharya, P., Louder, R., Kwong, P.D.	3.56	X-RAY DIFFRACTION	0.328	0.296	False	True	IGHV4	IGKV1	Kappa	None	None	None	None	None
6bpe	E	F	0	D	protein	NA	reticulocyte binding protein 2, putative	CELL INVASION	11/22/17	Plasmodium vivax reticulocyte binding protein 2b (PvRBP2b) bound to monoclonal antibody 6H1	PLASMODIUM VIVAX (STRAIN SALVADOR I); MUS MUSCULUS	mus musculus	mus musculus	plasmodium vivax (strain salvador i)	Gruszczyk, J., Chan, L.J., Tham, W.H.	3.34	X-RAY DIFFRACTION	0.367	0.318	False	False	IGHV5	IGKV6	Kappa	None	None	None	None	None
